Country_Region,Province_State,lat,lon,continent,population,area
Thailand,,15,101,Asia,69037513,513120
Timor-Leste,,-8.874217,125.727539,Asia,1293119,14919
Togo,,8.6195,0.8248,Africa,8082366,56785
Trinidad and Tobago,,10.6918,-61.2225,Americas,1394973,5130
Tunisia,,34,9,Africa,11694719,163610
Turkey,,38.9637,35.2433,Asia,83429615,783562
US,Alabama,32.3182,-86.9023,Americas,4903185,135767
US,Alaska,61.3707,-152.4044,Americas,731545,1723337
US,Arizona,33.7298,-111.4312,Americas,7278717,295234
US,Arkansas,34.9697,-92.3731,Americas,3017825,137732
US,California,36.1162,-119.6816,Americas,39512223,423967
US,Colorado,39.0598,-105.3111,Americas,5758736,269601
US,Connecticut,41.5978,-72.7554,Americas,3565287,14357
US,Delaware,39.3185,-75.5071,Americas,973764,6446
US,District of Columbia,38.8974,-77.0268,Americas,705749,177
US,Florida,27.7663,-81.6868,Americas,21477737,170312
US,Georgia,33.0406,-83.6431,Americas,10617423,153910
US,Guam,13.4443,144.7937,Americas,165718,1478
US,Hawaii,21.0943,-157.4983,Americas,1415872,28313
US,Idaho,44.2405,-114.4788,Americas,1787147,216443
US,Illinois,40.3495,-88.9861,Americas,12671821,149995
US,Indiana,39.8494,-86.2583,Americas,6732219,94326
US,Iowa,42.0115,-93.2105,Americas,3155070,145746
US,Kansas,38.5266,-96.7265,Americas,2913314,213100
US,Kentucky,37.6681,-84.6701,Americas,4467673,104656
US,Louisiana,31.1695,-91.8678,Americas,4648794,135659
US,Maine,44.6939,-69.3819,Americas,1344212,91633
US,Maryland,39.0639,-76.8021,Americas,6045680,32131
US,Massachusetts,42.2302,-71.5301,Americas,6949503,27336
US,Michigan,43.3266,-84.5361,Americas,9986857,250487
US,Minnesota,45.6945,-93.9002,Americas,5639632,225163
US,Mississippi,32.7416,-89.6787,Americas,2976149,125438
US,Missouri,38.4561,-92.2884,Americas,6137428,180540
US,Montana,46.9219,-110.4544,Americas,1068778,380831
US,Nebraska,41.1254,-98.2681,Americas,1934408,200330
US,Nevada,38.3135,-117.0554,Americas,3080156,286380
US,New Hampshire,43.4525,-71.5639,Americas,1359711,24214
US,New Jersey,40.2989,-74.521,Americas,8882190,22591
US,New Mexico,34.8405,-106.2485,Americas,2096829,314917
US,New York,42.1657,-74.9481,Americas,19453561,141297
US,North Carolina,35.6301,-79.8064,Americas,10488084,139391
US,North Dakota,47.5289,-99.784,Americas,762062,183108
US,Ohio,40.3888,-82.7649,Americas,11689100,116098
US,Oklahoma,35.5653,-96.9289,Americas,3956971,181037
US,Oregon,44.572,-122.0709,Americas,4217737,254799
US,Pennsylvania,40.5908,-77.2098,Americas,12801989,119280
US,Puerto Rico,18.2208,-66.5901,Americas,3193694,13791
US,Rhode Island,41.6809,-71.5118,Americas,1059361,4001
US,South Carolina,33.8569,-80.945,Americas,5148714,82933
US,South Dakota,44.2998,-99.4388,Americas,884659,199729
US,Tennessee,35.7478,-86.6923,Americas,6833174,109153
US,Texas,31.0545,-97.5635,Americas,28995881,695662
US,Utah,40.15,-111.8624,Americas,3205958,219882
US,Vermont,44.0459,-72.7107,Americas,623989,24906
US,Virgin Islands,18.3358,-64.8963,Americas,104914,1898
US,Virginia,37.7693,-78.17,Americas,8535519,110787
US,Washington,47.4009,-121.4905,Americas,7614893,184661
US,West Virginia,38.4912,-80.9545,Americas,1792065,62756
US,Wisconsin,44.2685,-89.6165,Americas,5822434,169635
US,Wyoming,42.756,-107.3025,Americas,578759,253335
Uganda,,1,32,Africa,44269594,241550
Ukraine,,48.3794,31.1656,Europe,43993638,603500
United Arab Emirates,,24,54,Asia,9770529,83600
United Kingdom,,55.3781,-3.436,Europe,67530172,242495
United Kingdom,Bermuda,32.3078,-64.7505,Europe,71176,53
United Kingdom,Cayman Islands,19.3133,-81.2546,Europe,68076,264
United Kingdom,Channel Islands,49.3723,-2.3644,Europe,170499,118
United Kingdom,Gibraltar,36.1408,-5.3536,Europe,32194,7
United Kingdom,Isle of Man,54.2361,-4.5481,Europe,83314,572
United Kingdom,Montserrat,16.7425,-62.1874,Europe,4649,102
Uruguay,,-32.5228,-55.7658,Americas,3461734,176215
Uzbekistan,,41.3775,64.5853,Asia,32981716,447400
Venezuela,,6.4238,-66.5897,Americas,28515829,916445
Vietnam,,16,108,Asia,96462106,331212
Zambia,,-15.4167,28.2833,Africa,17861030,752612
Zimbabwe,,-20,30,Africa,14645468,390757
